Product Title,Price,Rating,Reviews,Product URL
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"Rs. 1,358",4.2 out of 5 stars,"1,268","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODM3OTAwMjY1ODQ2NTg1OjE2NjcwNTUzMjQ6c3BfYXRmX25leHQ6MjAwNDE2OTU2NzY1MDY6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FCosmus-Casual-Backpack-Charger-College%2Fdp%2FB08D7D21FV%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055324%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26psc%3D1
"
Killer Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"Rs. 1,801",4.4 out of 5 stars,"10,651","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODM3OTAwMjY1ODQ2NTg1OjE2NjcwNTUzMjQ6c3BfYXRmX25leHQ6MjAwMjE0Mjc5NzY3MDY6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FKiller-Backpack-Compartments-Polyester-Waterproof%2Fdp%2FB07BVSSMQT%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055324%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26psc%3D1
"
"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag (Black)",Rs. 848,4.2 out of 5 stars,643,"https://www.amazon.in/Veneer-Backpack-Fashion-Leather-College/dp/B09BMG8R6Y/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-35
"
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,Rs. 639,4.1 out of 5 stars,20,"https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-36
"
ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,Rs. 845,4.0 out of 5 stars,"4,006","https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-37
"
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm","Rs. 1,399",4.1 out of 5 stars,"5,819","https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-38
"
Gear ModernEco5 21L Water Resistant School Bag//Backpack/College Bag for Men/Women - Black Grey,Rs. 429,3.8 out of 5 stars,"1,877","https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-39
"
SKY BAG NETWORK PRO 01 GREY POLYESTER 26L LAPTOP BACKPACK,"Rs. 1,625",3.5 out of 5 stars,2,"https://www.amazon.in/NETWORK-GREY-POLYESTER-LAPTOP-BACKPACK/dp/B0B4DS5BDK/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-40
"
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"Rs. 1,450",4.4 out of 5 stars,"4,394","https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-41
"
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,"Rs. 1,059",4.4 out of 5 stars,"2,364","https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0101/dp/B07G4D13LB/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-42
"
