ASIN,Manufacturer,Description
NA,NA,NA
B085MHDJ93,Amazing Bags,"CASUAL BACKPACK, Spacious compartments, Padded Back and Shoulder Straps"
B09QJ7ZF2Y,NA,"Ease of Access, Anti - Theft Pocket, The best in class Anti-Theft"
B09YH62Q3C,"CREA, CREA Plot No-174, Sec-58, Industrial Area, Ballabgarh, Faridabad, Haryana-121004, contact: 8826459222, upkar@creaindia.com",NA
NA,NA,NA
B09SB5DP5Y,NA,"High Quality Space Saving, Multi-Purpose:, Convenient to Use:"
B08HVGQ3KT,Amazon Brand - Symbol,NA
NA,NA,NA
B08HTR6LSK,Amazon Brand - Symbol,NA
B07SB9JJ3Z,Crea,NA
NA,NA,NA
B078GLXMDY,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",
B0B7DVC3TL,Martucci,"Ultimate Functional, Style and Substance, Ergonomically Designed Back Support"
B07YDGQQN5,"Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028","Comfortable and Sturdy, Multiple Pockets, Shoe Compartment"
NA,NA,"Ergonomic Contoured Shape, Fits Your Laptop, Strong and Lightweight"
B08Z1HHHTD,VIP Industries Ltd,NA
NA,NA,
B07M9BRCQ5,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028","Artificial Leather Material, Water Resistant Fabric, Fit-For-All Occasions"
NA,NA,NA
B082Z33ZDS,Fiesto Fashion,"Spoilt for Choice, Travel Companions, Material"
B08RWBP3H2,ADISA,"Stylish front, Flower Print Stitch, Competes Your Look, Ideal Size"
B07RXYSJHF,Coalescent India,
NA,NA,
B087P2M4QM,MINISO,"MINISO cosmetic bags for women, MINISO makeup pouch for women, makeup bags for women"
NA,NA,"Keep Your Bathroom Clutter-Free, Top Carry Handle, Superior Design & Construction"
NA,NA,"Versatile!, Durable!, Flexible!"
NA,NA,
NA,NA,NA
NA,NA,
NA,NA,"Summer Vocation, Bathroom, Business, Gifts"
B07CJCFNZG,Samsonite,NA
B088B4P6ZW,Martucci,"MULTI-FUNCTION COMPARTMENT, ERGONOMIC CONTOURED SHAPE, DURABLE MATERIAL"
NA,NA,
B07G3CG9FC,"ADISA, careadisa@gmail.com","Quality Metal Zipper, Padded Handle, Bottle Holders"
B07QN4KXWG,"AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",
B08R7J19R8,wooum,"Spacious Storage, Superior Material, Suitable For"
B07QN4KXWG,"AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",
B08R7J19R8,wooum,"Spacious Storage, Superior Material, Suitable For"
NA,NA,"Ergonomic Contoured Shape, Fits Your Laptop, Strong and Lightweight"
